TABELA,CIDADE,REGIÃO
RS - METROPOLITANA,PORTO ALEGRE,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,CANOAS,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,GUAÍBA,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,ELDORADO,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,SÃO LEOPOLDO,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,PORTÃO,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,SAPUCAIA DO SUL,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,ESTEIO,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,NOVO HAMBURGO,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,ESTÂNCIA VELHA,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,CAMPO BOM,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,SAPIRANGA,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,NOVA HARTZ,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,IVOTI,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,DOIS IRMÃOS,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,GRAVATAÍ,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,GLORINHA,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,VIAMÃO,METROPOLITANA DE CAXIAS DO SUL
RS - METROPOLITANA,ALVORADA,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,CACHOEIRINHA,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,CAXIAS DO SUL,METROPOLITANA DE CAXIAS DO SUL
RS - METROPOLITANA,FARROUPILHA,METROPOLITANA DE CAXIAS DO SUL
RS - METROPOLITANA,CARLOS BARBOSA,METROPOLITANA DE CAXIAS DO SUL
RS - METROPOLITANA,FLORES DA CUNHA,METROPOLITANA DE CAXIAS DO SUL
RS - METROPOLITANA,PAROBÉ,METROPOLITANA DE PORTO ALEGRE
RS - METROPOLITANA,BENTO GONÇALVES,METROPOLITANA DE CAXIAS DO SUL
RS - METROPOLITANA,GARIBALDI,METROPOLITANA DE CAXIAS DO SUL
RS - METROPOLITANA,TRIUNFO,METROPOLITANA DE PORTO ALEGRE
RS - INTERIOR,NOVA SANTA RITA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SERTÃO SANTANA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MARIANA PIMENTEL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LINDOLFO COLLOR,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PRESIDENTE LUCENA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MORRO REUTER,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA MARIA DO HERVAL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA PETROPOLIS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PICADA CAFÉ,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO MARCOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VACARIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IPE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ANTÔNIO PRADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAMPESTRE DA SERRA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA ROMA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA PADUA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOSÉ DOS AUSENTES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BOM JESUS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LAGOA VERMELHA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IBIRAIARAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
